Loss Type,Beta,Pearson Correlation,Spearman Correlation,Cosine,Entropy,Active Neurons
<disentangling.losses.FactorKLoss object at 0x7f8d0e8f5340>,1,0.4217006499199584,0.9994684083063577,0.7730657418568929,0.7394501,1.8281781319774424
<disentangling.losses.FactorKLoss object at 0x7f8d1b2b0a30>,2,0.405915086963761,0.9994281111111313,0.78618190685908,0.69222254,1.746698383715294
<disentangling.losses.FactorKLoss object at 0x7f8be8583b20>,3,0.47108413475122435,0.9994498067830385,nan,1.0055019,2.095976671617589
